Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2021-01-03 05:30:33,32.3182,-86.9023,369458,4872,202137.0,162449.0,1.0,7535.061393767521,,,1.318688457145332,84000001.0,USA,,,2021-01-02,,
Alaska,US,2021-01-03 05:30:33,61.3707,-152.4044,47821,215,7165.0,40441.0,2.0,6536.986788235857,1290349.0,,0.4495932749210597,84000002.0,USA,176386.82514404444,,2021-01-02,,
American Samoa,US,2021-01-03 05:30:33,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,,2021-01-02,,
Arizona,US,2021-01-03 05:30:33,33.7298,-111.4312,539150,9061,77867.0,452222.0,4.0,7407.212012776427,5218721.0,,1.6806083650190111,84000004.0,USA,39916.14181455331,,2021-01-02,,
Arkansas,US,2021-01-03 05:30:33,34.9697,-92.3731,231442,3729,203701.0,24012.0,5.0,7669.219074532342,2079788.0,,1.6112028067507194,84000005.0,USA,68917.26566735281,,2021-01-02,,
California,US,2021-01-03 05:30:33,36.1162,-119.6816,2481266,26538,,,6.0,6281.734641961299,33391442.0,,1.06540835348802,84000006.0,USA,84509.14543583133,,2021-01-02,,
Colorado,US,2021-01-03 05:30:33,39.0598,-105.3111,364645,5451,18217.0,316043.0,8.0,5889.695238677376,4474747.0,,1.4482327550623282,84000008.0,USA,77703.63149135505,,2021-01-02,,
Connecticut,US,2021-01-03 05:30:33,41.5978,-72.7554,190120,6099,9800.0,174221.0,9.0,5332.530031944132,4383361.0,,3.20797391121397,84000009.0,USA,122945.5300512974,,2021-01-02,,
Delaware,US,2021-01-03 05:30:33,39.3185,-75.5071,58873,1072,18851.0,38950.0,10.0,6045.920777518988,1031875.0,,1.8208686494657995,84000010.0,USA,1.0596766773057948e-05,,2021-01-02,,
Diamond Princess,US,2021-01-03 05:30:33,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,2021-01-02,,
District of Columbia,US,2021-01-03 05:30:33,38.8974,-77.0268,29509,792,21002.0,7715.0,11.0,4181.231570997621,911378.0,,2.683926937544478,84000011.0,USA,129136.27932876984,,2021-01-02,,
Florida,US,2021-01-03 05:30:33,27.7663,-81.6868,1354833,21890,,,12.0,6308.080781508778,17451529.0,,1.615697285200464,84000012.0,USA,81254.03993912393,,2021-01-02,,
Georgia,US,2021-01-03 05:30:33,33.0406,-83.6431,685122,10960,,,13.0,6452.808746529172,5436988.0,,1.5997150872399368,84000013.0,USA,51208.16981672483,,2021-01-02,,
Grand Princess,US,2021-01-03 05:30:33,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,,2021-01-02,,
Guam,US,2021-01-03 05:30:33,13.4443,144.7937,7326,122,7047.0,157.0,66.0,4460.844308861407,96201.0,,1.6653016653016652,316.0,GUM,58577.35235555231,,2021-01-02,,
Hawaii,US,2021-01-03 05:30:33,21.0943,-157.4983,22448,289,11958.0,10201.0,15.0,1585.4540523437147,822805.0,,1.2874198146828226,84000015.0,USA,58112.95088821589,,2021-01-02,,
Idaho,US,2021-01-03 05:30:33,44.2405,-114.4788,142199,1448,58649.0,82102.0,16.0,7957.125230475668,545485.0,,1.018291267871082,84000016.0,USA,30524.071592247623,,2021-01-02,,
Illinois,US,2021-01-03 05:30:33,40.3495,-88.9861,975352,18217,,,17.0,7697.015290856776,13436652.0,,1.8677359558395328,84000017.0,USA,106035.68342703072,,2021-01-02,,
Indiana,US,2021-01-03 05:30:33,39.8494,-86.2583,523090,9562,347401.0,166127.0,18.0,7769.949254473154,5769273.0,,1.8279837121719016,84000018.0,USA,8.569645461622683e-06,,2021-01-02,,
Iowa,US,2021-01-03 05:30:33,42.0115,-93.2105,283895,3946,243214.0,36735.0,19.0,8998.057095405173,1175920.0,,1.3899505098716074,84000019.0,USA,37270.80540209884,,2021-01-02,,
